red_wins,black_wins,epsilon,game_length,loss,mae,avg,med,std
0,1,0.999696,0.3333333333333333,0.03708381461456156,0.04010634658334311,-0.007672432903200396,0.11015067547559737,0.4776768009890252
1,1,0.999392,0.5714285714285714,0.01880005947077734,0.027219431489356793,0.18628510963171724,0.10965224504470825,0.36289985151587256
2,1,0.999088,0.40476190476190477,0.01604237601895875,0.02411370888876263,0.15825192593038082,0.10951325297355652,0.33231695153667246
3,1,0.998784,0.5238095238095238,0.012721733000034874,0.02038718413677998,0.13003170397132635,0.10898603796958922,0.2959881991687593
3,2,0.99848,0.6190476190476191,0.027926180869144446,0.03196624096017331,-0.0019164548255503136,0.10884391218423843,0.40772720136986873
3,3,0.998176,0.8333333333333334,0.034568366555504326,0.04095381898514461,0.14385424591600898,0.1086671009659767,0.48798636514801574
3,4,0.997872,0.47619047619047616,0.024912460261475644,0.030242418244597502,0.059748515672981735,0.10783212929964064,0.40310583760253177
4,4,0.997568,0.3333333333333333,0.021783141964988317,0.028971442923648283,0.12214549593627452,0.10772611945867538,0.3887447338434633
4,5,0.997264,0.3333333333333333,0.012746237851388287,0.018723248576861806,0.038377038110047584,0.10760368555784225,0.2681078025847529
4,6,0.99696,0.30952380952380953,0.015613585239407257,0.023680930040427484,0.15634671207517384,0.10726016610860825,0.33259748258245375
5,6,0.996656,0.5476190476190477,0.01900493221637589,0.02543813998636324,0.09376079086214303,0.10725805163383484,0.3553250476766622
6,6,0.996352,0.47619047619047616,0.018707663711211353,0.023616028498508967,0.0029616242274641998,0.10668471604585647,0.3225863266906277
7,6,0.996048,0.5,0.03435047473794839,0.0408741807914339,0.142338674608618,0.10650380551815034,0.48809698620521863
8,6,0.995744,0.2857142857142857,0.024883133814000757,0.03241219373012427,0.14861744679510594,0.1060058444738388,0.41778045301633965
8,7,0.99544,0.6666666666666666,0.012579150886267598,0.01862086476467084,0.036676886398345224,0.10577647984027863,0.26766882388958335
9,7,0.995136,0.7619047619047619,0.03078077765439957,0.03496801228902768,0.023416167683899397,0.1057284414768219,0.4427603363978678
10,7,0.994832,0.5,0.018652674310033035,0.025338897845358588,0.09286194574087858,0.1061884805560112,0.35529131646363693
10,8,0.994528,0.5,0.0308838799737714,0.03529237180191558,0.02382301213219762,0.10624754279851913,0.4428360206633998
10,9,0.994224,0.6190476190476191,0.021693064818464336,0.026760010048747063,0.030215518362820153,0.10592929869890214,0.3659388571118948
11,9,0.99392,0.47619047619047616,0.033559433883056045,0.03636777606152464,-0.039488499984145164,0.1051629289984703,0.44152048100966873
11,10,0.993616,0.8095238095238095,0.02469098534220393,0.02831889415392652,-0.03314033597707749,0.10498054772615432,0.3654386061005087
11,11,0.993312,0.35714285714285715,0.022130711215140764,0.030933090674807318,0.21022308878600598,0.10487786382436752,0.39018624264605184
