red_wins,black_wins,epsilon,game_length,loss,mae,avg,med,std
0,1,0.999696,0.2857142857142857,0.03878228097073588,0.05668539414909901,-0.0625,0.0,0.24206145913796356
1,1,0.999392,0.42857142857142855,0.02490302879677131,0.036316622856247704,0.0,0.0,0.3535533905932738
1,2,0.999088,0.3333333333333333,0.017631416281192802,0.026908756415195967,0.0,0.0,0.25
2,2,0.998784,0.7619047619047619,0.004783100517791183,0.01164691554276942,-0.03125,0.0,0.17399263633843817
3,2,0.99848,0.2619047619047619,0.023042027980757496,0.030320498589844647,-0.03125,0.0,0.39404750665370286
3,3,0.998176,0.5476190476190477,0.0254384391743514,0.03326676723736455,-0.03125,0.0,0.39404750665370286
4,3,0.997872,0.40476190476190477,0.00766671902562166,0.017799733319407096,0.03125,0.0,0.17399263633843817
4,4,0.997568,0.5,0.01574401407592063,0.02814330225737649,-0.03125,0.0,0.3045873232752801
5,4,0.997264,0.40476190476190477,0.026549411349719776,0.033079781038395595,0.0,0.0,0.4330127018922193
5,5,0.99696,0.5476190476190477,0.024080915158887883,0.03997313311356265,0.09375,0.0,0.2914805954090255
6,5,0.996656,0.35714285714285715,0.014098677851620778,0.032573333533946425,0.0,0.0,0.25
7,5,0.996352,0.7142857142857143,0.022842501365403223,0.03138783695976599,0.09375,0.0,0.38400642898264087
8,5,0.996048,0.5476190476190477,0.03397189749106522,0.03916486323328172,0.03125,0.0,0.46666201634587745
8,6,0.995744,0.2619047619047619,0.011000340863963842,0.02031080673168617,-0.0625,0.0,0.24206145913796356
9,6,0.99544,0.4523809523809524,0.004939088206667108,0.013178825930481253,-0.03125,0.0,0.17399263633843817
10,6,0.995136,0.8095238095238095,0.01711413372858317,0.024077456324448576,0.0,0.0,0.3535533905932738
11,6,0.994832,0.5,0.014718624440730466,0.025449944328101992,0.03125,0.0,0.3045873232752801
11,7,0.994528,0.40476190476190477,0.029951529938784915,0.03769638037920231,-0.09375,0.0,0.45821494683172437
12,7,0.994224,0.2619047619047619,0.02842531478446375,0.03686006670795905,-0.125,0.0,0.414578098794425
12,8,0.99392,0.4523809523809524,0.018897663147146915,0.02878266099924076,-0.0625,0.0,0.34798527267687634
12,9,0.993616,0.47619047619047616,0.02057519804801533,0.02782561602748501,0.0625,0.0,0.34798527267687634
12,10,0.993312,0.30952380952380953,0.026855768405251723,0.03353427824731625,0.03125,0.0,0.39404750665370286
13,10,0.993008,0.4523809523809524,0.017351515986263166,0.025788005455979146,-0.03125,0.0,0.3045873232752801
13,11,0.992704,0.5952380952380952,0.022615525564617656,0.031191675683658104,-0.03125,0.0,0.39404750665370286
14,11,0.9924,0.21428571428571427,0.014351723379661507,0.02750540419947356,0.0625,0.0,0.34798527267687634
14,12,0.992096,0.5476190476190477,0.010823663117679683,0.022768058635392663,-0.03125,0.0,0.17399263633843817
15,12,0.991792,0.5476190476190477,0.01672645211760937,0.023937268008012325,0.03125,0.0,0.3045873232752801
15,13,0.991488,0.6904761904761905,0.021251024287387565,0.031974372619515634,0.09375,0.0,0.2914805954090255
16,13,0.991184,0.5,0.01881860535308988,0.02727395255351439,-0.0625,0.0,0.34798527267687634
16,14,0.99088,0.30952380952380953,0.008712153399491163,0.01464280977756971,0.0,0.0,0.25
16,15,0.990576,0.2857142857142857,0.008901614189193552,0.014887874272517365,0.0,0.0,0.25
17,15,0.990272,0.5238095238095238,0.00045159160114138786,0.005917627384405932,0.0,0.0,0.0
18,15,0.989968,0.6904761904761905,0.005405232174074293,0.013302303089403722,0.03125,0.0,0.17399263633843817
19,15,0.989664,0.7142857142857143,0.014670388736591766,0.017486132476278726,0.03125,0.0,0.3045873232752801
19,16,0.98936,0.7619047619047619,0.004858570435598786,0.009533439643064412,-0.03125,0.0,0.17399263633843817
19,17,0.989056,0.7380952380952381,0.00906272248059281,0.012910214805742726,0.0,0.0,0.25
19,18,0.988752,0.42857142857142855,0.009067663785222224,0.012454122428835035,-0.0625,0.0,0.24206145913796356
19,19,0.988448,0.9761904761904762,0.014958245053664665,0.018105764462347906,0.03125,0.0,0.3045873232752801
19,20,0.988144,0.6666666666666666,0.03989737355612988,0.04298772001675388,0.03125,0.0,0.5294085733155443
19,21,0.98784,0.6428571428571429,0.022737895676427478,0.02876282768420424,-0.03125,0.0,0.39404750665370286
19,22,0.987536,0.47619047619047616,0.01659964897226307,0.024379863734793616,0.0,0.0,0.3535533905932738
19,23,0.987232,0.6904761904761905,0.013774990950196297,0.02404001002832956,-0.03125,0.0,0.3045873232752801
20,23,0.986928,0.6428571428571429,0.015296033150406174,0.02593071062437957,0.09375,0.0,0.2914805954090255
20,24,0.986624,0.5476190476190477,0.016013372912490054,0.020134316408075392,-0.03125,0.0,0.3045873232752801
21,24,0.98632,0.21428571428571427,0.01813731317368905,0.022892839064297732,0.0,0.0,0.3535533905932738
21,25,0.986016,0.5476190476190477,0.009616954810961864,0.015068802178802798,-0.0625,0.0,0.24206145913796356
22,25,0.985712,0.4523809523809524,0.034759072506062694,0.041778743456234224,-0.125,0.0,0.4841229182759271
22,26,0.985408,0.5476190476190477,0.02124640172107206,0.027769815667852527,0.0,0.0,0.3535533905932738
23,26,0.985104,0.35714285714285715,0.01499433291291119,0.01909572120894154,0.03125,0.0,0.3045873232752801
23,27,0.9848,0.40476190476190477,0.019566166660538897,0.02370188092754688,0.0,0.0,0.3535533905932738
24,27,0.984496,0.2619047619047619,0.012949681043505037,0.01904297225104301,0.03125,0.0,0.3045873232752801
25,27,0.984192,0.6666666666666666,0.026437117770345964,0.031838607733334356,-0.125,0.0,0.414578098794425
26,27,0.983888,0.2619047619047619,0.005646838862844561,0.011404606357245939,-0.03125,0.0,0.17399263633843817
26,28,0.983584,0.6428571428571429,0.013104961634331058,0.01922336771690425,-0.03125,0.0,0.3045873232752801
26,29,0.98328,0.7142857142857143,0.008629004867671597,0.014739734422619222,0.0625,0.0,0.24206145913796356
26,30,0.982976,0.5952380952380952,0.0050124091439584136,0.010447907084653707,-0.03125,0.0,0.17399263633843817
27,30,0.982672,0.30952380952380953,0.021303459540546826,0.028679653972289998,-0.03125,0.0,0.39404750665370286
28,30,0.982368,0.2857142857142857,0.005303666176288857,0.011931589763662487,-0.03125,0.0,0.17399263633843817
29,30,0.982064,0.30952380952380953,0.010212587553560248,0.01607460323828036,0.0,0.0,0.25
29,31,0.98176,0.6428571428571429,0.017778100406266983,0.024781068981610588,0.0625,0.0,0.34798527267687634
30,31,0.981456,0.21428571428571427,0.005696955843390583,0.012807553928723792,-0.03125,0.0,0.17399263633843817
31,31,0.981152,0.5238095238095238,0.00919981712543283,0.01457846022776721,-0.0625,0.0,0.24206145913796356
31,32,0.980848,0.42857142857142855,0.024577832214299433,0.028580364865320007,0.03125,0.0,0.39404750665370286
32,32,0.980544,0.6190476190476191,0.019129475688805186,0.021897686682677886,0.0625,0.0,0.34798527267687634
33,32,0.98024,0.35714285714285715,0.01233949562705039,0.01751224568897669,0.03125,0.0,0.3045873232752801
33,33,0.979936,0.5952380952380952,0.025045171851687087,0.030091488923517318,-0.03125,0.0,0.39404750665370286
34,33,0.9796320000000001,0.30952380952380953,0.026992035294894468,0.03380831426784425,0.0,0.0,0.4330127018922193
34,34,0.979328,0.30952380952380953,0.015019204043893841,0.022922751666555996,0.03125,0.0,0.3045873232752801
34,35,0.979024,0.42857142857142855,0.0054891097131064825,0.011364264573444416,0.03125,0.0,0.17399263633843817
35,35,0.97872,0.3333333333333333,0.009707849101458063,0.013462206675843191,-0.0625,0.0,0.24206145913796356
35,36,0.978416,0.2857142857142857,0.013855683923594486,0.017080289474279198,0.03125,0.0,0.3045873232752801
36,36,0.978112,0.47619047619047616,0.004859839926975695,0.01048648896994564,-0.03125,0.0,0.17399263633843817
36,37,0.977808,0.47619047619047616,0.01900219867237629,0.02407856735317182,-0.0625,0.0,0.34798527267687634
36,38,0.977504,0.4523809523809524,0.005095748739558648,0.01014411456048947,-0.03125,0.0,0.17399263633843817
36,39,0.9772,0.23809523809523808,0.02094271235269829,0.025778743152045536,-0.03125,0.0,0.39404750665370286
37,39,0.976896,0.38095238095238093,0.012140517962295982,0.016176667379454557,0.0,0.0,0.25
