red_wins,black_wins,epsilon,game_length,loss,mae,avg,med,std
0,1,0.999696,0.47619047619047616,0.02695261390583603,0.039461093170302775,-0.012794507390935905,0.07837900519371033,0.6197153066414124
1,1,0.999392,0.2857142857142857,0.02845815920250118,0.03828184817081137,0.12691709181672195,0.1090986505150795,0.5460029576787626
2,1,0.999088,0.30952380952380953,0.02209278102952794,0.033050969046598766,0.18154201075230958,0.12326952069997787,0.46544575591425896
3,1,0.998784,0.42857142857142855,0.012305821152067686,0.02587864283395902,0.2196721408108715,0.12730246037244797,0.39524771926007
3,2,0.99848,0.6666666666666666,0.029290888256355174,0.04589518608918297,0.020172201097011566,0.11265372484922409,0.6778812772811722
3,3,0.998176,0.5,0.02607265783120738,0.03745107423310401,-0.15826303366338834,0.09505957365036011,0.46768652701725066
4,3,0.997872,0.5476190476190477,0.00399050831640442,0.012619976293422042,-0.00600739277433604,0.07983743399381638,0.44403558779502833
4,4,0.997568,0.5476190476190477,0.015991201579307557,0.023682130820816383,0.07301712248590775,0.07950927689671516,0.3599912696467968
5,4,0.997264,0.6428571428571429,0.013096294619131754,0.02477454965992365,0.05935407496872358,0.10114212706685066,0.48335673917625027
6,4,0.99696,0.2857142857142857,0.033735316926154724,0.038358186055120314,0.020561208250001073,0.1100275106728077,0.5030624427067278
6,5,0.996656,0.7142857142857143,0.01231604935163233,0.02467511839040526,-0.09312833164585754,0.11005505174398422,0.5090958351845292
6,6,0.996352,0.30952380952380953,0.015846345008844187,0.026868931532590068,0.1885536337213125,0.09647947922348976,0.38458662187638054
6,7,0.996048,0.8571428571428571,0.03402536917906218,0.04693977389979409,0.15112452078028582,0.15328414738178253,0.5297658758691293
6,8,0.995744,0.6428571428571429,0.005937754359393921,0.019318808317621006,0.03686546301469207,0.16998213529586792,0.49144851645514037
6,9,0.99544,0.5238095238095238,0.01278924026871664,0.02376644208561629,0.16926826117560267,0.18705891072750092,0.4443417312439359
6,10,0.995136,0.5,0.021929051771944152,0.03394850174527164,0.11141536175273359,0.18805095553398132,0.5507626241071767
7,10,0.994832,0.35714285714285715,0.006461055201809174,0.0156922994829074,0.18893388798460364,0.16961126774549484,0.27877275507071725
8,10,0.994528,0.38095238095238093,0.014530022944526877,0.03128716818537214,-0.12887400574982166,0.18230393528938293,0.6055354824441458
8,11,0.994224,0.6666666666666666,0.01730441281853637,0.02869762057684966,0.17199058691039681,0.1899106428027153,0.4562418962930243
8,12,0.99392,0.5,0.030820758223619293,0.04278631225861318,0.15503604232799262,0.2024160474538803,0.5189587196346752
9,12,0.993616,0.5476190476190477,0.008513162447854938,0.017679933032923145,0.225258853242849,0.22025559097528458,0.3003443886231098
10,12,0.993312,0.47619047619047616,0.013006278114223058,0.026750827770001706,0.19922119588591158,0.2624906301498413,0.44648021986633557
10,13,0.993008,0.5238095238095238,0.019970827751308207,0.031484342227486195,0.3455657714512199,0.29624952375888824,0.44718594831367803
11,13,0.992704,0.2857142857142857,0.010126330623950186,0.025473554186191905,0.21757548581808805,0.2805630564689636,0.43682591086847244
12,13,0.9924,0.5476190476190477,0.021127934591277153,0.03329407025012188,0.22270286362618208,0.3303104639053345,0.4992690476482502
12,14,0.992096,0.30952380952380953,0.012782672424943797,0.02767988496907492,0.3719600571785122,0.3604150116443634,0.3149986674910558
13,14,0.991792,0.2619047619047619,0.0038117307838234638,0.017020057273839484,0.36888156132772565,0.41083426773548126,0.40263134993784133
14,14,0.991488,0.38095238095238093,0.029446193023263248,0.03583740885420639,0.33623997028917074,0.41361989080905914,0.4605564376258698
15,14,0.991184,0.6904761904761905,0.02023571894540055,0.03386288654292002,0.24920666724210605,0.40091025829315186,0.5803478918186924
15,15,0.99088,0.40476190476190477,0.017241295560360595,0.028899353451038223,0.3176293410360813,0.38607193529605865,0.46186300388940543
