red_wins,black_wins,epsilon,game_length,loss,mae,avg,med,std
1,0,0.999696,0.4523809523809524,0.07694798186116714,0.07649617645074613,0.6306548286229372,0.8326173424720764,0.5518939156589021
2,0,0.999392,0.5238095238095238,0.06684118686530205,0.0644433627530816,0.6869528852403164,1.0,0.7259525096664311
3,0,0.999088,0.21428571428571427,0.058695919172826905,0.05924790829158155,0.75,1.0,0.6614378277661477
3,1,0.998784,0.5952380952380952,0.03821435556600333,0.04779457982465374,0.9375,1.0,0.34798527267687634
3,2,0.99848,0.5238095238095238,0.035686491910469575,0.03294848102359538,0.875,1.0,0.4841229182759271
3,3,0.998176,0.5952380952380952,0.08011026712663295,0.057881387829581854,0.6875,1.0,0.7261843774138906
3,4,0.997872,0.6190476190476191,0.034993586746656036,0.03823799415806661,0.9375,1.0,0.34798527267687634
3,5,0.997568,0.35714285714285715,0.05307645317286239,0.03937202231506376,0.875,1.0,0.4841229182759271
4,5,0.997264,0.5952380952380952,0.03516248922295545,0.030090154915200173,0.875,1.0,0.4841229182759271
4,6,0.99696,0.5,0.025600914971023347,0.021415917524794992,0.9374999087303877,1.0,0.34798525628450977
5,6,0.996656,0.5,0.04686233845634151,0.03850670069865547,0.875,1.0,0.4841229182759271
6,6,0.996352,0.47619047619047616,0.07369931637968216,0.05623680098741346,0.75,1.0,0.6614378277661477
6,7,0.996048,0.5238095238095238,0.02831796639595406,0.03309726942253555,0.9375,1.0,0.34798527267687634
6,8,0.995744,0.30952380952380953,0.003465179270623572,0.013311179538504803,1.0,1.0,0.0
6,9,0.99544,0.8095238095238095,0.037799119847534174,0.024914773923293332,0.875,1.0,0.4841229182759271
6,10,0.995136,0.2619047619047619,0.05020566334477339,0.047393530669978645,0.8125,1.0,0.582961190818051
6,11,0.994832,0.2857142857142857,0.09808155344350812,0.07428243826495873,0.6875,1.0,0.7261843774138906
7,11,0.994528,0.23809523809523808,0.040876520421020184,0.04261417681923546,0.875,1.0,0.4841229182759271
8,11,0.994224,0.4523809523809524,0.021268511768834295,0.027374800324391657,0.9375,1.0,0.34798527267687634
9,11,0.99392,0.2857142857142857,0.05429039524886757,0.03953405652997333,0.8125,1.0,0.582961190818051
10,11,0.993616,0.5476190476190477,0.0374803642164921,0.04166825890740711,0.875,1.0,0.4841229182759271
11,11,0.993312,0.5714285714285714,0.02061691576256422,0.018679021240458837,0.9375,1.0,0.34798527267687634
12,11,0.993008,0.5476190476190477,0.0964165991593618,0.0696365219212538,0.6875,1.0,0.7261843774138906
12,12,0.992704,0.2619047619047619,0.06998007920000797,0.0652573555790994,0.8125,1.0,0.582961190818051
12,13,0.9924,0.2857142857142857,0.08452831164119542,0.061203714478843096,0.75,1.0,0.6614378277661477
12,14,0.992096,0.5,0.05694110297809705,0.058757018432516794,0.8125,1.0,0.582961190818051
13,14,0.991792,0.35714285714285715,0.07009808019747085,0.05806557491827574,0.8124999981373549,1.0,0.5829611902189614
14,14,0.991488,0.5238095238095238,0.055445752006564084,0.052011290799522936,0.8125,1.0,0.582961190818051
14,15,0.991184,0.3333333333333333,0.023398144791230174,0.033107690583847216,0.9375,1.0,0.34798527267687634
14,16,0.99088,0.40476190476190477,0.07430245501894733,0.05323217108877998,0.75,1.0,0.6614378277661477
15,16,0.990576,0.30952380952380953,0.13757385283361145,0.10352697886992246,0.5373337119817734,0.9686425924301147,0.8142371193910427
15,17,0.990272,0.35714285714285715,0.09349065851350247,0.08812882865095162,0.6875,1.0,0.7261843774138906
15,18,0.989968,0.42857142857142855,0.06204008896868629,0.061952999438290135,0.8125,1.0,0.582961190818051
16,18,0.989664,0.5238095238095238,0.04845184675262004,0.047012610290494194,0.875,1.0,0.4841229182759271
17,18,0.98936,0.30952380952380953,0.05879039023874677,0.046283370324090356,0.8125,1.0,0.582961190818051
18,18,0.989056,0.6190476190476191,0.018382977796448,0.02341920903192829,0.9375,1.0,0.34798527267687634
18,19,0.988752,0.2857142857142857,0.0940218833053138,0.06818876115826811,0.6875,1.0,0.7261843774138906
18,20,0.988448,0.4523809523809524,0.11936130653116418,0.09158721189077568,0.625,1.0,0.7806247497997998
19,20,0.988144,0.30952380952380953,0.05208585387266994,0.05278662457057237,0.875,1.0,0.4841229182759271
20,20,0.98784,0.5714285714285714,0.06848094192494127,0.057019963148228214,0.8125,1.0,0.582961190818051
20,21,0.987536,0.6190476190476191,0.09505076041554059,0.08013326853014746,0.625,1.0,0.7806247497997998
21,21,0.987232,0.5238095238095238,0.06390675037209803,0.06352569076261716,0.875,1.0,0.4841229182759271
21,22,0.986928,0.42857142857142855,0.026747737353392864,0.03475858200727089,0.9375,1.0,0.34798527267687634
21,23,0.986624,0.6904761904761905,0.006036541982835684,0.017731278119015315,1.0,1.0,0.0
22,23,0.98632,0.4523809523809524,0.0672520289230858,0.04400798350184232,0.75,1.0,0.6614378277661477
22,24,0.986016,0.35714285714285715,0.09436974730372627,0.08066097357493618,0.6875,1.0,0.7261843774138906
22,25,0.985712,0.5714285714285714,0.07429555854402485,0.06443025006284131,0.75,1.0,0.6614378277661477
23,25,0.985408,0.5238095238095238,0.045701010379204945,0.054429970283827345,0.875,1.0,0.4841229182759271
24,25,0.985104,0.5952380952380952,0.05448702299981996,0.03368870595479034,0.8125,1.0,0.582961190818051
25,25,0.9848,0.47619047619047616,0.08015693341501508,0.06317971370374043,0.7497894819825888,1.0,0.6613586478966196
26,25,0.984496,0.35714285714285715,0.020930127567886814,0.03708222318709886,1.0,1.0,0.0
27,25,0.984192,0.2857142857142857,0.07193229406386215,0.04626783323379868,0.75,1.0,0.6614378277661477
27,26,0.983888,0.47619047619047616,0.05344976917165317,0.04164228561436545,0.8125,1.0,0.582961190818051
27,27,0.983584,0.30952380952380953,0.059565044181263745,0.0581999161598965,0.8749971091747284,0.999998539686203,0.48412217188063056
27,28,0.98328,0.42857142857142855,0.03534754923638813,0.032319567966428764,0.875,1.0,0.4841229182759271
27,29,0.982976,0.6904761904761905,0.02091092890351496,0.017095334308374177,0.9375,1.0,0.34798527267687634
28,29,0.982672,0.7857142857142857,0.03363832589140308,0.032847577754228224,0.8749999608844519,1.0,0.4841229081763461
29,29,0.982368,0.38095238095238093,0.07414227929591599,0.05922851627113923,0.6875,1.0,0.7261843774138906
29,30,0.982064,0.7619047619047619,0.08127798264442276,0.07586703467131883,0.8124841153621674,1.0,0.5829560826339456
29,31,0.98176,0.30952380952380953,0.03807298821666086,0.03371409791291313,0.875,1.0,0.4841229182759271
30,31,0.981456,0.7857142857142857,0.04589064932931454,0.044363659223238816,0.875,1.0,0.4841229182759271
30,32,0.981152,0.5,0.0784402235344051,0.05771186259006811,0.75,1.0,0.6614378277661477
30,33,0.980848,0.47619047619047616,0.061168663201224875,0.05713603840455228,0.8125,1.0,0.582961190818051
30,34,0.980544,0.40476190476190477,0.10983751144917164,0.0794037268124157,0.6875,1.0,0.7261843774138906
